drug1_id,drug2_id,drug1_name,drug2_name,cell_line,bliss,gamma,source
HFNKQEVNSGCOJV-UHFFFAOYSA-N,SDUQYLNIPVEERB-UHFFFAOYSA-N,Ruxolitinib,Gemcitabine,CAPAN-1,0.13412382,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,RCINICONZNJXQF-UHFFFAOYSA-N,Ruxolitinib,Paclitaxel,CAPAN-1,0.65584064,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,HFNKQEVNSGCOJV-UHFFFAOYSA-N,Lapatinib,Ruxolitinib,CAPAN-1,-0.46323442,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,UWKQSNNFCGGAFS-UHFFFAOYSA-N,Ruxolitinib,Irinotecan,CAPAN-1,1.214611,,GDSC
AHJRHEGDXFFMBM-UHFFFAOYSA-N,HFNKQEVNSGCOJV-UHFFFAOYSA-N,Palbociclib,Ruxolitinib,CAPAN-1,0.57621,,GDSC
BEUQXVWXFDOSAQ-UHFFFAOYSA-N,HFNKQEVNSGCOJV-UHFFFAOYSA-N,Taselisib,Ruxolitinib,CAPAN-1,-0.48738933,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,JLYAXFNOILIKPP-UHFFFAOYSA-N,Ruxolitinib,Navitoclax,CAPAN-1,0.44607362,,GDSC
DRMCATBEKSVAPL-UHFFFAOYSA-N,HFNKQEVNSGCOJV-UHFFFAOYSA-N,Oxaliplatin,Ruxolitinib,CAPAN-1,-0.3283123,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,Ruxolitinib,Cisplatin,CAPAN-1,-0.10632266,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,IAYGCINLNONXHY-UHFFFAOYSA-N,Ruxolitinib,AZD7762,CAPAN-1,2.3822126,,GDSC
FDLYAMZZIXQODN-UHFFFAOYSA-N,HFNKQEVNSGCOJV-UHFFFAOYSA-N,Olaparib,Ruxolitinib,CAPAN-1,0.74495053,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Ruxolitinib,Linsitinib,CAPAN-1,1.3204926,,GDSC
AAKJLRGGTJKAMG-UHFFFAOYSA-N,HFNKQEVNSGCOJV-UHFFFAOYSA-N,Erlotinib,Ruxolitinib,CAPAN-1,-0.28912956,,GDSC
FDLYAMZZIXQODN-UHFFFAOYSA-N,HFNKQEVNSGCOJV-UHFFFAOYSA-N,Olaparib,Ruxolitinib,CAPAN-1,3.6071768,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,JROFGZPOBKIAEW-UHFFFAOYSA-N,Ruxolitinib,OSI-027,CAPAN-1,0.85249263,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,ULDXWLCXEDXJGE-UHFFFAOYSA-N,Ruxolitinib,MK-2206,CAPAN-1,1.7449315,,GDSC
HDAJDNHIBCDLQF-UHFFFAOYSA-N,HFNKQEVNSGCOJV-UHFFFAOYSA-N,SCH772984,Ruxolitinib,CAPAN-1,-0.12667397,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,IVRXNBXKWIJUQB-UHFFFAOYSA-N,Ruxolitinib,Galunisertib,CAPAN-1,-0.87508994,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,JROFGZPOBKIAEW-UHFFFAOYSA-N,Ruxolitinib,OSI-027,CAPAN-1,-0.34171006,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,HFNKQEVNSGCOJV-UHFFFAOYSA-N,Lapatinib,Ruxolitinib,CAPAN-1,1.4554592,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,Ruxolitinib,Trametinib,CAPAN-1,0.26294464,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,Ruxolitinib,Cisplatin,CAPAN-1,0.1451973,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Ruxolitinib,Dasatinib,CAPAN-1,-0.7753342,,GDSC
GHASVSINZRGABV-UHFFFAOYSA-N,HFNKQEVNSGCOJV-UHFFFAOYSA-N,5-Fluorouracil,Ruxolitinib,CAPAN-1,0.48498088,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,IVRXNBXKWIJUQB-UHFFFAOYSA-N,Ruxolitinib,Galunisertib,CAPAN-1,-0.70943904,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,IAYGCINLNONXHY-UHFFFAOYSA-N,Ruxolitinib,AZD7762,CAPAN-1,-0.74551,,GDSC
DRMCATBEKSVAPL-UHFFFAOYSA-N,HFNKQEVNSGCOJV-UHFFFAOYSA-N,Oxaliplatin,Ruxolitinib,CAPAN-1,-0.60958654,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,UWKQSNNFCGGAFS-UHFFFAOYSA-N,Ruxolitinib,Irinotecan,CAPAN-1,0.010623001,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Ruxolitinib,Dasatinib,CAPAN-1,1.3015677,,GDSC
PKCDDUHJAFVJJB-UHFFFAOYSA-N,RCINICONZNJXQF-UHFFFAOYSA-N,Linsitinib,Paclitaxel,CAPAN-1,-1.9893386,,GDSC
MLDQJTXFUGDVEO-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Sorafenib,Linsitinib,CAPAN-1,2.218166,,GDSC
PKCDDUHJAFVJJB-UHFFFAOYSA-N,UWKQSNNFCGGAFS-UHFFFAOYSA-N,Linsitinib,Irinotecan,CAPAN-1,-2.2622492,,GDSC
IAYGCINLNONXHY-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,AZD7762,Linsitinib,CAPAN-1,-2.1849892,,GDSC
LIRYPHYGHXZJBZ-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Trametinib,Linsitinib,CAPAN-1,0.7773515,,GDSC
JLYAXFNOILIKPP-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Navitoclax,Linsitinib,CAPAN-1,2.3920503,,GDSC
LXZZYRPGZAFOLE-UHFFFAOYSA-L,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Cisplatin,Linsitinib,CAPAN-1,-0.2424996,,GDSC
AAKJLRGGTJKAMG-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Erlotinib,Linsitinib,CAPAN-1,-2.9217896,,GDSC
GHASVSINZRGABV-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,5-Fluorouracil,Linsitinib,CAPAN-1,-0.9505103,,GDSC
JOGKUKXHTYWRGZ-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Dactolisib,Linsitinib,CAPAN-1,0.8431824,,GDSC
GHASVSINZRGABV-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,5-Fluorouracil,Linsitinib,CAPAN-1,-1.8190814,,GDSC
KTEIFNKAUNYNJU-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Crizotinib,Linsitinib,CAPAN-1,-2.228261,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Ruxolitinib,Linsitinib,CAPAN-1,-1.8865694,,GDSC
JROFGZPOBKIAEW-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,OSI-027,Linsitinib,CAPAN-1,0.6949337,,GDSC
BKWJAKQVGHWELA-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,MK-1775,Linsitinib,CAPAN-1,-3.2184098,,GDSC
JROFGZPOBKIAEW-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,OSI-027,Linsitinib,CAPAN-1,-2.8258662,,GDSC
PKCDDUHJAFVJJB-UHFFFAOYSA-N,ULDXWLCXEDXJGE-UHFFFAOYSA-N,Linsitinib,MK-2206,CAPAN-1,-1.1764057,,GDSC
PKCDDUHJAFVJJB-UHFFFAOYSA-N,UWKQSNNFCGGAFS-UHFFFAOYSA-N,Linsitinib,Irinotecan,CAPAN-1,-2.2120378,,GDSC
LXZZYRPGZAFOLE-UHFFFAOYSA-L,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Cisplatin,Linsitinib,CAPAN-1,-2.3494594,,GDSC
LIRYPHYGHXZJBZ-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Trametinib,Linsitinib,CAPAN-1,-2.8019853,,GDSC
IAYGCINLNONXHY-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,AZD7762,Linsitinib,CAPAN-1,-1.0942547,,GDSC
FDLYAMZZIXQODN-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Olaparib,Linsitinib,CAPAN-1,-0.8832836,,GDSC
HDAJDNHIBCDLQF-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,SCH772984,Linsitinib,CAPAN-1,2.822514,,GDSC
BEUQXVWXFDOSAQ-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Taselisib,Linsitinib,CAPAN-1,-3.0792665,,GDSC
BKWJAKQVGHWELA-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,MK-1775,Linsitinib,CAPAN-1,-0.71417314,,GDSC
PKCDDUHJAFVJJB-UHFFFAOYSA-N,XXYGTCZJJLTAGH-UHFFFAOYSA-N,Linsitinib,LGK974,CAPAN-1,-3.080969,,GDSC
PKCDDUHJAFVJJB-UHFFFAOYSA-N,SDUQYLNIPVEERB-UHFFFAOYSA-N,Linsitinib,Gemcitabine,CAPAN-1,-2.3506777,,GDSC
IVRXNBXKWIJUQB-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Galunisertib,Linsitinib,CAPAN-1,-3.2390687,,GDSC
FDLYAMZZIXQODN-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Olaparib,Linsitinib,CAPAN-1,-0.6376886,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Ruxolitinib,Linsitinib,CAPAN-1,-2.2758977,,GDSC
DRMCATBEKSVAPL-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Oxaliplatin,Linsitinib,CAPAN-1,-2.610031,,GDSC
PKCDDUHJAFVJJB-UHFFFAOYSA-N,RCINICONZNJXQF-UHFFFAOYSA-N,Linsitinib,Paclitaxel,CAPAN-1,-2.0701628,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Lapatinib,Linsitinib,CAPAN-1,2.113722,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Lapatinib,Linsitinib,CAPAN-1,-3.3975587,,GDSC
PKCDDUHJAFVJJB-UHFFFAOYSA-N,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Linsitinib,Dasatinib,CAPAN-1,-2.4581914,,GDSC
PKCDDUHJAFVJJB-UHFFFAOYSA-N,ULDXWLCXEDXJGE-UHFFFAOYSA-N,Linsitinib,MK-2206,CAPAN-1,1.0503627,,GDSC
HDAJDNHIBCDLQF-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,SCH772984,Linsitinib,CAPAN-1,1.3851,,GDSC
JLYAXFNOILIKPP-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Navitoclax,Linsitinib,CAPAN-1,1.2012354,,GDSC
BEUQXVWXFDOSAQ-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Taselisib,Linsitinib,CAPAN-1,-3.0641537,,GDSC
KTEIFNKAUNYNJU-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Crizotinib,Linsitinib,CAPAN-1,-2.910549,,GDSC
PKCDDUHJAFVJJB-UHFFFAOYSA-N,XXYGTCZJJLTAGH-UHFFFAOYSA-N,Linsitinib,LGK974,CAPAN-1,0.13438994,,GDSC
JOGKUKXHTYWRGZ-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Dactolisib,Linsitinib,CAPAN-1,3.6464827,,GDSC
PKCDDUHJAFVJJB-UHFFFAOYSA-N,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Linsitinib,Dasatinib,CAPAN-1,-2.6647577,,GDSC
PKCDDUHJAFVJJB-UHFFFAOYSA-N,SDUQYLNIPVEERB-UHFFFAOYSA-N,Linsitinib,Gemcitabine,CAPAN-1,-3.2908256,,GDSC
IVRXNBXKWIJUQB-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Galunisertib,Linsitinib,CAPAN-1,-3.674184,,GDSC
DRMCATBEKSVAPL-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Oxaliplatin,Linsitinib,CAPAN-1,-2.7202747,,GDSC
AHJRHEGDXFFMBM-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Palbociclib,Linsitinib,CAPAN-1,0.7794986,,GDSC
MLDQJTXFUGDVEO-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Sorafenib,Linsitinib,CAPAN-1,-0.45540395,,GDSC
AHJRHEGDXFFMBM-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Palbociclib,Linsitinib,CAPAN-1,-1.4406072,,GDSC
AAKJLRGGTJKAMG-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Erlotinib,Linsitinib,CAPAN-1,1.456019,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Lapatinib,Linsitinib,CAPAN-1,2.0832944,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,ULDXWLCXEDXJGE-UHFFFAOYSA-N,Lapatinib,MK-2206,CAPAN-1,-0.33204302,,GDSC
