drug1_id,drug2_id,drug1_name,drug2_name,cell_line,bliss,gamma,source
BCFGMOOMADDAQU-UHFFFAOYSA-N,JROFGZPOBKIAEW-UHFFFAOYSA-N,Lapatinib,OSI-027,CAPAN-1,0.6966483,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,Lapatinib,Trametinib,CAPAN-1,3.020704,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,Lapatinib,Cisplatin,CAPAN-1,-1.609111,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Lapatinib,Dasatinib,CAPAN-1,1.8854914,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,GHASVSINZRGABV-UHFFFAOYSA-N,Lapatinib,5-Fluorouracil,CAPAN-1,-1.1237577,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,IVRXNBXKWIJUQB-UHFFFAOYSA-N,Lapatinib,Galunisertib,CAPAN-1,1.06669,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,IAYGCINLNONXHY-UHFFFAOYSA-N,Lapatinib,AZD7762,CAPAN-1,-1.7110673,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,DRMCATBEKSVAPL-UHFFFAOYSA-N,Lapatinib,Oxaliplatin,CAPAN-1,-0.013051639,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,UWKQSNNFCGGAFS-UHFFFAOYSA-N,Lapatinib,Irinotecan,CAPAN-1,4.381337,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Lapatinib,Dasatinib,CAPAN-1,2.222328,,GDSC
BEUQXVWXFDOSAQ-UHFFFAOYSA-N,RCINICONZNJXQF-UHFFFAOYSA-N,Taselisib,Paclitaxel,CAPAN-1,-2.1289043,,GDSC
BEUQXVWXFDOSAQ-UHFFFAOYSA-N,MLDQJTXFUGDVEO-UHFFFAOYSA-N,Taselisib,Sorafenib,CAPAN-1,1.0108662,,GDSC
