dataset,split,mse_mean,mse_std,spearman_mean,spearman_std,pearson_mean,pearson_std,auc_mean,auc_std,auprc_mean,auprc_std,f1_mean,f1_std,seed_mean,seed_std
filtered,lco,1.2419943809509275,,0.4823080440419338,,0.5256887078285217,,0.7151169315019301,,0.7991721313371678,,0.6832369942196532,,42.0,
filtered,ldo,2.4961471557617188,,-0.0444932868066238,,-0.1446385681629181,,0.5488180051813472,,0.2482713081479914,,0.3157894736842105,,42.0,
filtered,lodo,1.9474189281463623,,0.1318670445484815,,0.1169302836060524,,0.552495187552075,,0.5848512843682332,,0.5970625798212005,,42.0,
filtered,lpo,1.9088014364242556,,0.0826694870634447,,0.0479657799005508,,0.5224770534519589,,0.6134845156375012,,0.5712820512820512,,42.0,
filtered,lto,1.3580986261367798,,0.4399533004251201,,0.459755390882492,,0.695488138710959,,0.747655117474582,,0.6475455046883618,,42.0,
unfiltered,lco,1.4761762619018557,,0.4946577763063871,,0.5221512913703918,,0.7270047871415365,,0.798523591134099,,0.6990407673860911,,42.0,
unfiltered,ldo,2.068549394607544,,-0.0173612682110216,,-0.0676846876740455,,0.4592339261285909,,0.6598145673263525,,0.5422535211267606,,42.0,
unfiltered,lodo,2.0119340419769287,,0.2098715342441086,,0.2176548093557357,,0.5933720435008878,,0.6713268281254618,,0.6046662346079067,,42.0,
unfiltered,lpo,2.2792017459869385,,0.2581465104883763,,0.2727853059768677,,0.618599696088795,,0.6932766465991291,,0.6037533512064344,,42.0,
unfiltered,lto,1.505790114402771,,0.4857797468760126,,0.5030408501625061,,0.7245702343269269,,0.798998281622666,,0.6829527349973447,,42.0,
