tag,mse,spearman,pearson,auc,auprc,f1,dataset,split,seed
files_split,1.4698675906041203,0.4828840264187432,0.4965737667155367,0.710059223437062,0.8077338277702503,0.7297921478060047,unfiltered,lto,42
files_split,1.5151541788577672,0.4604360527049687,0.4827558823661464,0.7141595325451826,0.801872409547596,0.7298245614035088,unfiltered,lto,43
files_split,1.390049213402779,0.4809042410928567,0.4948952077829338,0.7038742539617204,0.7989864422115197,0.7077997671711292,unfiltered,lto,44
files_split,1.695711126531201,0.3335648667627016,0.3382839792163934,0.6602741426392877,0.7861413875678196,0.6545012165450121,unfiltered,lpo,42
files_split,1.4696333914138902,0.3856779622092744,0.3745870698145523,0.6684598776538324,0.7126004017577818,0.6540027137042063,unfiltered,lpo,43
files_split,1.8305236597334904,0.2817307459407558,0.2888836078394324,0.617582817619221,0.6744745138581791,0.6255259467040674,unfiltered,lpo,44
files_split,1.4610218836634137,0.3562744711049289,0.3875242398488939,0.6413740336219776,0.7606650406119719,0.6723338485316847,unfiltered,lco,42
files_split,1.3143461118565694,0.4677647374100753,0.4965406788257528,0.6957369268582083,0.8066377082553534,0.6955128205128205,unfiltered,lco,43
files_split,1.55287295952917,0.4745497405067301,0.4860781197873221,0.7370232250075593,0.8307766415777147,0.7206106870229008,unfiltered,lco,44
files_split,1.845746937400188,0.2856140999871391,0.2692711929134378,0.634095591685196,0.7124954424314089,0.6119273984442524,unfiltered,lodo,42
files_split,1.8472805097648268,0.2023091746249214,0.2020735238937126,0.5851447245564892,0.7113885740449527,0.6633499170812603,unfiltered,lodo,43
files_split,1.875817154452578,0.2270576897806625,0.2161118781765588,0.6376366577708168,0.7369788386549925,0.6320400500625782,unfiltered,lodo,44
files_split,1.8423042239932763,-0.0330831957284605,-0.0466533190294168,0.5028248587570622,0.4184621968682689,0.4367816091954023,unfiltered,ldo,42
files_split,1.2012188816852396,0.4868433131105886,0.4428946126105213,0.7089285714285715,0.9381025711847192,0.7708333333333334,unfiltered,ldo,43
files_split,1.7925671292708705,0.1916383996229536,0.2006561788315065,0.6168119830091661,0.6553745984870151,0.5220883534136547,unfiltered,ldo,44
files_split,2.64062207669315,0.5311032784482771,0.5379436657652584,0.7485370065722166,0.7796380911486184,0.6974358974358974,filtered,lto,42
files_split,2.768380294426585,0.5650409634136874,0.5654772244569368,0.7712636128477712,0.8138776956907778,0.7084967320261438,filtered,lto,43
files_split,2.658437701857025,0.508402136568395,0.5158962061746653,0.7299879455268131,0.7755101154759397,0.6810126582278481,filtered,lto,44
files_split,4.311091039228701,-0.0437949752063702,-0.0323800582207996,0.4731409730573497,0.5343485470134431,0.4681440443213296,filtered,lpo,42
files_split,4.559222623517496,0.1121296349430194,0.1065993587389786,0.5371038463673198,0.6195131414737911,0.5344352617079889,filtered,lpo,43
files_split,3.891834262874983,0.3049164948613511,0.2804767401573441,0.6100737667127709,0.6781551414790653,0.6710526315789473,filtered,lpo,44
files_split,1.9085526275743692,0.409748510398976,0.4621984523675097,0.6721216292779315,0.8517233997765388,0.6719424460431654,filtered,lco,42
files_split,3.112314413881845,0.5522651174145435,0.5499364589437112,0.8030272135518783,0.8527408174109149,0.7697478991596639,filtered,lco,43
files_split,2.815476784519638,0.574326426659439,0.5681016827433869,0.801751195527716,0.8126674129478988,0.7401032702237521,filtered,lco,44
files_split,5.7187986184710695,-0.0808913910726181,-0.0853005558882761,0.4418120049773845,0.4850009506655972,0.5216,filtered,lodo,42
files_split,5.427150337689869,-0.2357598843201551,-0.2232097836652524,0.3584050686454063,0.5172194787832436,0.5087719298245614,filtered,lodo,43
files_split,5.566995051013719,-0.0675726347578225,-0.0767999404277506,0.4487183186649353,0.4577650139719754,0.5969989281886388,filtered,lodo,44
files_split,4.572308520958735,-0.1684946712685799,-0.1995495140066935,0.4276401564537158,0.4003561665745641,0.3820224719101123,filtered,ldo,42
files_split,3.7679264974369766,-0.3192318950766357,-0.3145444664429035,0.1912195121951219,0.5145114714513156,0.430379746835443,filtered,ldo,43
files_split,5.247947904849792,-0.0194595416839704,-0.022796271946421,0.5028718558130323,0.2969586920283076,0.3818181818181818,filtered,ldo,44
